timestamp,BTC,ETH,SOL,DOGE,AAPL,TSLA
2026-03-26T22:40:21.433018,68944,2063.57,87.2,0.091188,255.80499267578125,377.5899963378906
2026-03-27T10:23:23.618848,68568,2052.57,86.08,0.091959,252.88999938964844,372.1099853515625
2026-03-27T10:25:21.699966,68567,2052.13,86.08,0.091926,252.88999938964844,372.1099853515625
2026-03-27T10:27:27.554343,68576,2052.29,86.1,0.0919,252.88999938964844,372.1099853515625
2026-03-27T10:28:04.821385,68576,2052.29,86.1,0.0919,252.88999938964844,372.1099853515625
2026-03-27T13:43:09.013193,68433,2061.52,85.83,0.092218,252.88999938964844,372.1099853515625
2026-03-27T13:45:08.266423,68451,2061.98,85.83,0.092221,252.88999938964844,372.1099853515625
2026-03-27T13:45:09.604325,68451,2061.98,85.83,0.092221,252.88999938964844,372.1099853515625
2026-03-27T13:47:07.760787,68429,2061.65,85.84,0.092227,252.88999938964844,372.1099853515625
2026-03-27T13:47:09.473971,68429,2061.65,85.84,0.092227,252.88999938964844,372.1099853515625
2026-03-27T13:49:08.797839,68421,2061.23,85.85,0.092214,252.88999938964844,372.1099853515625
2026-03-27T13:49:09.609903,68421,2061.23,85.85,0.092214,252.88999938964844,372.1099853515625
2026-03-27T13:50:26.510131,68355,2059.15,85.85,0.092176,252.88999938964844,372.1099853515625
2026-03-27T13:51:07.472728,68355,2059.15,85.85,0.092176,252.88999938964844,372.1099853515625
2026-03-27T13:51:10.271199,68355,2059.15,85.85,0.092176,252.88999938964844,372.1099853515625
2026-03-27T13:52:22.856621,68343,2058.33,85.85,0.092167,252.88999938964844,372.1099853515625
2026-03-27T13:52:26.631249,68338,2058.18,85.86,0.092154,252.88999938964844,372.1099853515625
2026-03-27T13:53:07.687826,68338,2058.18,85.86,0.092154,252.88999938964844,372.1099853515625
2026-03-27T13:53:09.846007,68338,2058.18,85.86,0.092154,252.88999938964844,372.1099853515625
2026-03-27T13:54:20.728721,68360,2058.95,85.86,0.092129,252.88999938964844,372.1099853515625
2026-03-27T13:54:26.843994,68350,2057.98,85.86,0.092119,252.88999938964844,372.1099853515625
2026-03-27T13:55:08.487136,68350,2057.98,85.86,0.092119,252.88999938964844,372.1099853515625
